criterion,winner,loser,wins
contact,baseline,hireact,6
contact,baseline,hireact_star,7
contact,hireact,baseline,4
contact,hireact,hireact_star,5
contact,hireact_star,baseline,3
contact,hireact_star,hireact,5
reaction,baseline,hireact,2
reaction,baseline,hireact_star,4
reaction,hireact,baseline,8
reaction,hireact,hireact_star,4
reaction,hireact_star,baseline,6
reaction,hireact_star,hireact,6
realism,baseline,hireact,2
realism,baseline,hireact_star,3
realism,hireact,baseline,8
realism,hireact,hireact_star,6
realism,hireact_star,baseline,7
realism,hireact_star,hireact,4
