criterion,winner,loser,wins
contact,baseline,hireact,2
contact,baseline,hireact_star,4
contact,hireact,baseline,18
contact,hireact,hireact_star,16
contact,hireact_star,baseline,16
contact,hireact_star,hireact,4
reaction,baseline,hireact,6
reaction,baseline,hireact_star,10
reaction,hireact,baseline,14
reaction,hireact,hireact_star,16
reaction,hireact_star,baseline,10
reaction,hireact_star,hireact,4
realism,baseline,hireact,6
realism,baseline,hireact_star,8
realism,hireact,baseline,14
realism,hireact,hireact_star,16
realism,hireact_star,baseline,12
realism,hireact_star,hireact,4
