criterion,winner,loser,wins
contact,baseline,hireact,2
contact,baseline,hireact_star,2
contact,hireact,baseline,8
contact,hireact,hireact_star,7
contact,hireact_star,baseline,8
contact,hireact_star,hireact,3
reaction,baseline,hireact,4
reaction,baseline,hireact_star,5
reaction,hireact,baseline,6
reaction,hireact,hireact_star,5
reaction,hireact_star,baseline,5
reaction,hireact_star,hireact,5
realism,baseline,hireact,2
realism,baseline,hireact_star,3
realism,hireact,baseline,8
realism,hireact,hireact_star,8
realism,hireact_star,baseline,7
realism,hireact_star,hireact,2
