criterion,winner,loser,wins
contact,baseline,hireact,2
contact,baseline,hireact_star,3
contact,hireact,baseline,8
contact,hireact,hireact_star,7
contact,hireact_star,baseline,7
contact,hireact_star,hireact,3
reaction,baseline,hireact,3
reaction,baseline,hireact_star,5
reaction,hireact,baseline,7
reaction,hireact,hireact_star,6
reaction,hireact_star,baseline,5
reaction,hireact_star,hireact,4
realism,baseline,hireact,3
realism,baseline,hireact_star,2
realism,hireact,baseline,7
realism,hireact,hireact_star,8
realism,hireact_star,baseline,8
realism,hireact_star,hireact,2
