criterion,winner,loser,wins
contact,baseline,hireact,5
contact,baseline,hireact_star,5
contact,hireact,baseline,5
contact,hireact,hireact_star,7
contact,hireact_star,baseline,5
contact,hireact_star,hireact,3
reaction,baseline,hireact,6
reaction,baseline,hireact_star,5
reaction,hireact,baseline,4
reaction,hireact,hireact_star,5
reaction,hireact_star,baseline,5
reaction,hireact_star,hireact,5
realism,baseline,hireact,6
realism,baseline,hireact_star,8
realism,hireact,baseline,4
realism,hireact,hireact_star,4
realism,hireact_star,baseline,2
realism,hireact_star,hireact,6
